image_id,fashion_label,fashion_category
000001.jpg,3,Dress
000002.jpg,0,T-shirt/top
000003.jpg,6,Shirt
000004.jpg,3,Dress
000005.jpg,3,Dress
000006.jpg,3,Dress
000007.jpg,6,Shirt
000008.jpg,6,Shirt
000009.jpg,3,Dress
000010.jpg,3,Dress
000011.jpg,0,T-shirt/top
000012.jpg,0,T-shirt/top
000013.jpg,0,T-shirt/top
000014.jpg,3,Dress
000015.jpg,6,Shirt
000016.jpg,0,T-shirt/top
000017.jpg,0,T-shirt/top
000018.jpg,3,Dress
000019.jpg,3,Dress
000020.jpg,6,Shirt
000021.jpg,6,Shirt
000022.jpg,3,Dress
000023.jpg,0,T-shirt/top
000024.jpg,3,Dress
000025.jpg,6,Shirt
000026.jpg,3,Dress
000027.jpg,3,Dress
000028.jpg,3,Dress
000029.jpg,3,Dress
000030.jpg,6,Shirt
000031.jpg,0,T-shirt/top
000032.jpg,6,Shirt
000033.jpg,0,T-shirt/top
000034.jpg,3,Dress
000035.jpg,3,Dress
000036.jpg,6,Shirt
000037.jpg,6,Shirt
000038.jpg,0,T-shirt/top
000039.jpg,3,Dress
000040.jpg,3,Dress
000041.jpg,0,T-shirt/top
000042.jpg,3,Dress
000043.jpg,3,Dress
000044.jpg,3,Dress
000045.jpg,3,Dress
000046.jpg,3,Dress
000047.jpg,3,Dress
000048.jpg,6,Shirt
000049.jpg,6,Shirt
000050.jpg,0,T-shirt/top
000051.jpg,6,Shirt
000052.jpg,6,Shirt
000053.jpg,4,Coat
000054.jpg,3,Dress
000055.jpg,6,Shirt
000056.jpg,3,Dress
000057.jpg,3,Dress
000058.jpg,3,Dress
000059.jpg,3,Dress
000060.jpg,6,Shirt
000061.jpg,6,Shirt
000062.jpg,3,Dress
000063.jpg,3,Dress
000064.jpg,0,T-shirt/top
000065.jpg,0,T-shirt/top
000066.jpg,3,Dress
000067.jpg,6,Shirt
000068.jpg,6,Shirt
000069.jpg,6,Shirt
000070.jpg,0,T-shirt/top
000071.jpg,3,Dress
000072.jpg,6,Shirt
000073.jpg,3,Dress
000074.jpg,3,Dress
000075.jpg,3,Dress
000076.jpg,0,T-shirt/top
000077.jpg,3,Dress
000078.jpg,3,Dress
000079.jpg,6,Shirt
000080.jpg,6,Shirt
000081.jpg,0,T-shirt/top
000082.jpg,0,T-shirt/top
000083.jpg,3,Dress
000084.jpg,3,Dress
000085.jpg,3,Dress
000086.jpg,3,Dress
000087.jpg,3,Dress
000088.jpg,3,Dress
000089.jpg,3,Dress
000090.jpg,6,Shirt
000091.jpg,6,Shirt
000092.jpg,3,Dress
000093.jpg,4,Coat
000094.jpg,3,Dress
000095.jpg,0,T-shirt/top
000096.jpg,3,Dress
000097.jpg,3,Dress
